date,name,station_status,remote_id,station_bytes,mirror_bytes,in_mirror,size_match,verdict
2026-07-26,20260726T120128.mp4,FAILED,,9641707,,False,False,UPLOAD
2026-07-26,20260726T113133.mp4,SYNCED,3465,9280756,9280756,True,True,RECLAIM
2026-07-26,20260726T110126.mp4,SYNCED,3464,9415383,9415383,True,True,RECLAIM
2026-07-26,20260726T103128.mp4,SYNCED,3463,10079527,10079527,True,True,RECLAIM
2026-07-26,20260726T100124.mp4,SYNCED,3462,9308839,9308839,True,True,RECLAIM
2026-07-26,20260726T093127.mp4,SYNCED,3461,9565597,9565597,True,True,RECLAIM
2026-07-26,20260726T090125.mp4,SYNCED,3460,10037980,10037980,True,True,RECLAIM
2026-07-26,20260726T083133.mp4,SYNCED,3459,9480271,9480271,True,True,RECLAIM
2026-07-26,20260726T080124.mp4,SYNCED,3458,9312183,9312183,True,True,RECLAIM
2026-07-26,20260726T073131.mp4,SYNCED,3457,10052730,10052730,True,True,RECLAIM
2026-07-26,20260726T070132.mp4,SYNCED,3456,9309376,9309376,True,True,RECLAIM
2026-07-26,20260726T063127.mp4,SYNCED,3455,9521663,9521663,True,True,RECLAIM
2026-07-26,20260726T060132.mp4,SYNCED,3454,10142870,10142870,True,True,RECLAIM
2026-07-26,20260726T053134.mp4,SYNCED,3453,10266142,10266142,True,True,RECLAIM
2026-07-26,20260726T050126.mp4,SYNCED,3452,9316547,9316547,True,True,RECLAIM
2026-07-26,20260726T043126.mp4,SYNCED,3451,9314431,9314431,True,True,RECLAIM
2026-07-26,20260726T040124.mp4,SYNCED,3450,9674468,9674468,True,True,RECLAIM
2026-07-26,20260726T033125.mp4,SYNCED,3449,10058639,10058639,True,True,RECLAIM
2026-07-26,20260726T030124.mp4,SYNCED,3448,9302658,9302658,True,True,RECLAIM
2026-07-26,20260726T023131.mp4,SYNCED,3447,10270370,10270370,True,True,RECLAIM
2026-07-26,20260726T020126.mp4,SYNCED,3446,9565415,9565415,True,True,RECLAIM
2026-07-26,20260726T013129.mp4,SYNCED,3445,9310698,9310698,True,True,RECLAIM
2026-07-26,20260726T010129.mp4,SYNCED,3444,10353192,10353192,True,True,RECLAIM
2026-07-26,20260726T003124.mp4,FAILED,,9311964,9311964,True,True,ALREADY-ON-SERVER
2026-07-26,20260726T000126.mp4,SYNCED,3442,9314587,9314587,True,True,RECLAIM
2026-07-25,20260725T233129.mp4,SYNCED,3441,9309428,9309428,True,True,RECLAIM
2026-07-25,20260725T230129.mp4,SYNCED,3440,10315934,10315934,True,True,RECLAIM
2026-07-25,20260725T223124.mp4,SYNCED,3439,9282552,9282552,True,True,RECLAIM
2026-07-25,20260725T220128.mp4,SYNCED,3438,9286439,9286439,True,True,RECLAIM
2026-07-25,20260725T213128.mp4,SYNCED,3437,9432661,9432661,True,True,RECLAIM
2026-07-25,20260725T210130.mp4,SYNCED,3436,9908556,9908556,True,True,RECLAIM
2026-07-25,20260725T203124.mp4,SYNCED,3435,9827974,9827974,True,True,RECLAIM
2026-07-25,20260725T200132.mp4,SYNCED,3434,9995994,9995994,True,True,RECLAIM
2026-07-25,20260725T193125.mp4,SYNCED,3433,9887127,9887127,True,True,RECLAIM
2026-07-25,20260725T190128.mp4,SYNCED,3432,9936260,9936260,True,True,RECLAIM
2026-07-25,20260725T183124.mp4,SYNCED,3431,9796602,9796602,True,True,RECLAIM
2026-07-25,20260725T180132.mp4,SYNCED,3430,9289497,9289497,True,True,RECLAIM
2026-07-25,20260725T173126.mp4,SYNCED,3429,9527539,9527539,True,True,RECLAIM
2026-07-25,20260725T170126.mp4,SYNCED,3428,9873372,9873372,True,True,RECLAIM
2026-07-25,20260725T163124.mp4,SYNCED,3427,9689028,9689028,True,True,RECLAIM
2026-07-25,20260725T160131.mp4,SYNCED,3426,9821277,9821277,True,True,RECLAIM
2026-07-25,20260725T153131.mp4,SYNCED,3425,9282819,9282819,True,True,RECLAIM
2026-07-25,20260725T150127.mp4,FAILED,3424,9332832,9332832,True,True,ALREADY-ON-SERVER
2026-07-25,20260725T143128.mp4,SYNCED,3423,9818157,9818157,True,True,RECLAIM
2026-07-25,20260725T140124.mp4,FAILED,,9754093,,False,False,UPLOAD
2026-07-25,20260725T133132.mp4,SYNCED,3422,9289118,9289118,True,True,RECLAIM
2026-07-25,20260725T130128.mp4,SYNCED,3421,9870756,9870756,True,True,RECLAIM
2026-07-25,20260725T123132.mp4,SYNCED,3420,9821348,9821348,True,True,RECLAIM
2026-07-25,20260725T120127.mp4,SYNCED,3419,9356675,9356675,True,True,RECLAIM
2026-07-25,20260725T113125.mp4,SYNCED,3418,9283186,9283186,True,True,RECLAIM
2026-07-25,20260725T110134.mp4,SYNCED,3417,9309735,9309735,True,True,RECLAIM
2026-07-25,20260725T103131.mp4,SYNCED,3416,10255830,10255830,True,True,RECLAIM
2026-07-25,20260725T100132.mp4,SYNCED,3415,9623213,9623213,True,True,RECLAIM
2026-07-25,20260725T093129.mp4,FAILED,,9983515,9983515,True,True,ALREADY-ON-SERVER
